Command line: test_speed.py
Total duration: 476.015s
File: <frozen importlib._bootstrap>
File duration: 29.5067s (6.20%)
Line #|      Hits|         Time| Time per hit|      %|Source code
------+----------+-------------+-------------+-------+-----------
     1|         0|            0|            0|  0.00%|
     2|         0|            0|            0|  0.00%|
     3|         0|            0|            0|  0.00%|
     4|         0|            0|            0|  0.00%|
     5|         0|            0|            0|  0.00%|
     6|         0|            0|            0|  0.00%|
     7|         0|            0|            0|  0.00%|
     8|         0|            0|            0|  0.00%|
     9|         0|            0|            0|  0.00%|
    10|         0|            0|            0|  0.00%|
    11|         0|            0|            0|  0.00%|
    12|         0|            0|            0|  0.00%|
    13|         0|            0|            0|  0.00%|
    14|         0|            0|            0|  0.00%|
    15|         0|            0|            0|  0.00%|
    16|         0|            0|            0|  0.00%|
    17|         0|            0|            0|  0.00%|
    18|         0|            0|            0|  0.00%|
    19|         0|            0|            0|  0.00%|
    20|         0|            0|            0|  0.00%|
    21|         0|            0|            0|  0.00%|
    22|         0|            0|            0|  0.00%|
    23|         0|            0|            0|  0.00%|
    24|         0|            0|            0|  0.00%|
    25|         0|            0|            0|  0.00%|
    26|         0|            0|            0|  0.00%|
    27|         0|            0|            0|  0.00%|
    28|         0|            0|            0|  0.00%|
    29|         0|            0|            0|  0.00%|
    30|         0|            0|            0|  0.00%|
    31|         0|            0|            0|  0.00%|
    32|         0|            0|            0|  0.00%|
    33|         0|            0|            0|  0.00%|
    34|         0|            0|            0|  0.00%|
    35|      2856|   0.00668001|  2.33894e-06|  0.00%|
    36|      2856|    0.0144367|  5.05487e-06|  0.00%|
    37|         0|            0|            0|  0.00%|
    38|         0|            0|            0|  0.00%|
    39|         0|            0|            0|  0.00%|
    40|         0|            0|            0|  0.00%|
    41|         0|            0|            0|  0.00%|
    42|         0|            0|            0|  0.00%|
    43|         0|            0|            0|  0.00%|
    44|         0|            0|            0|  0.00%|
    45|         0|            0|            0|  0.00%|
    46|         0|            0|            0|  0.00%|
    47|         0|            0|            0|  0.00%|
    48|         0|            0|            0|  0.00%|
    49|         0|            0|            0|  0.00%|
    50|         0|            0|            0|  0.00%|
    51|         0|            0|            0|  0.00%|
    52|         0|            0|            0|  0.00%|
    53|         0|            0|            0|  0.00%|
    54|         0|            0|            0|  0.00%|
    55|         0|            0|            0|  0.00%|
    56|         0|            0|            0|  0.00%|
    57|         0|            0|            0|  0.00%|
    58|     39156|     0.112218|  2.86592e-06|  0.02%|
    59|     39156|     0.184724|  4.71764e-06|  0.04%|
    60|     39156|     0.148307|   3.7876e-06|  0.03%|
    61|     39156|     0.132617|  3.38689e-06|  0.03%|
    62|     39156|     0.141363|  3.61024e-06|  0.03%|
    63|     39156|     0.139047|  3.55111e-06|  0.03%|
    64|     39156|     0.128218|  3.27454e-06|  0.03%|
    65|         0|            0|            0|  0.00%|
    66|         0|            0|            0|  0.00%|
    67|         0|            0|            0|  0.00%|
    68|         0|            0|            0|  0.00%|
    69|         0|            0|            0|  0.00%|
    70|         0|            0|            0|  0.00%|
    71|         0|            0|            0|  0.00%|
    72|         0|            0|            0|  0.00%|
    73|         0|            0|            0|  0.00%|
    74|         0|            0|            0|  0.00%|
    75|         0|            0|            0|  0.00%|
    76|         0|            0|            0|  0.00%|
    77|         0|            0|            0|  0.00%|
    78|     41599|     0.110379|  2.65342e-06|  0.02%|
    79|         0|            0|            0|  0.00%|
    80|         0|            0|            0|  0.00%|
    81|         0|            0|            0|  0.00%|
    82|         0|            0|            0|  0.00%|
    83|         0|            0|            0|  0.00%|
    84|     41599|     0.170307|  4.09401e-06|  0.04%|
    85|     41599|     0.157658|  3.78994e-06|  0.03%|
    86|     41599|     0.145398|  3.49523e-06|  0.03%|
    87|     41599|      0.13439|   3.2306e-06|  0.03%|
    88|     41599|     0.177586|  4.26899e-06|  0.04%|
    89|     41599|     0.146876|  3.53075e-06|  0.03%|
    90|     41599|     0.140939|  3.38805e-06|  0.03%|
    91|     41599|     0.145718|  3.50291e-06|  0.03%|
    92|     41599|     0.165163|  3.97036e-06|  0.03%|
    93|         0|            0|            0|  0.00%|
    94|         0|            0|            0|  0.00%|
    95|         0|            0|            0|  0.00%|
    96|         0|            0|            0|  0.00%|
    97|         0|            0|            0|  0.00%|
    98|         0|            0|            0|  0.00%|
    99|         0|            0|            0|  0.00%|
   100|         0|            0|            0|  0.00%|
   101|     41599|     0.148448|  3.56854e-06|  0.03%|
   102|         0|            0|            0|  0.00%|
   103|     41599|     0.114302|  2.74771e-06|  0.02%|
   104|     41599|     0.155603|  3.74055e-06|  0.03%|
   105|     41599|     0.167003|  4.01458e-06|  0.04%|
   106|     41599|     0.147509|  3.54598e-06|  0.03%|
   107|         0|            0|            0|  0.00%|
   108|     41599|     0.139744|  3.35931e-06|  0.03%|
   109|     41599|     0.147313|  3.54126e-06|  0.03%|
   110|     41599|     0.142781|  3.43233e-06|  0.03%|
   111|     39156|     0.131564|  3.36001e-06|  0.03%|
   112|     39156|     0.148528|  3.79324e-06|  0.03%|
   113|         0|            0|            0|  0.00%|
   114|         0|            0|            0|  0.00%|
   115|         0|            0|            0|  0.00%|
   116|         0|            0|            0|  0.00%|
   117|         0|            0|            0|  0.00%|
   118|         0|            0|            0|  0.00%|
   119|         0|            0|            0|  0.00%|
   120|         0|            0|            0|  0.00%|
   121|         0|            0|            0|  0.00%|
   122|         0|            0|            0|  0.00%|
   123|         0|            0|            0|  0.00%|
   124|         0|            0|            0|  0.00%|
   125|         0|            0|            0|  0.00%|
   126|         0|            0|            0|  0.00%|
   127|         0|            0|            0|  0.00%|
   128|         0|            0|            0|  0.00%|
   129|         0|            0|            0|  0.00%|
   130|         0|            0|            0|  0.00%|
   131|         0|            0|            0|  0.00%|
   132|         0|            0|            0|  0.00%|
   133|         0|            0|            0|  0.00%|
   134|         0|            0|            0|  0.00%|
   135|         0|            0|            0|  0.00%|
   136|         0|            0|            0|  0.00%|
   137|         0|            0|            0|  0.00%|
   138|         0|            0|            0|  0.00%|
   139|         0|            0|            0|  0.00%|
   140|         0|            0|            0|  0.00%|
   141|         0|            0|            0|  0.00%|
   142|         0|            0|            0|  0.00%|
   143|     21207|    0.0621285|  2.92962e-06|  0.01%|
   144|     21207|    0.0922091|  4.34805e-06|  0.02%|
   145|     21207|    0.0841699|  3.96897e-06|  0.02%|
   146|         0|            0|            0|  0.00%|
   147|     21207|    0.0521562|  2.45939e-06|  0.01%|
   148|     21207|     0.232938|   1.0984e-05|  0.05%|
(call)|     21207|      2.00496|  9.45424e-05|  0.42%|# <frozen importlib._bootstrap>:157 _get_module_lock
   149|     21207|     0.234641|  1.10643e-05|  0.05%|
(call)|     21207|     0.859386|  4.05237e-05|  0.18%|# <frozen importlib._bootstrap>:78 acquire
   150|         0|            0|            0|  0.00%|
   151|     21207|    0.0715868|  3.37562e-06|  0.02%|
   152|     21207|      0.23592|  1.11246e-05|  0.05%|
(call)|     21207|      0.68099|  3.21116e-05|  0.14%|# <frozen importlib._bootstrap>:103 release
   153|         0|            0|            0|  0.00%|
   154|         0|            0|            0|  0.00%|
   155|         0|            0|            0|  0.00%|
   156|         0|            0|            0|  0.00%|
   157|     41599|     0.121992|  2.93257e-06|  0.03%|
   158|         0|            0|            0|  0.00%|
   159|         0|            0|            0|  0.00%|
   160|         0|            0|            0|  0.00%|
   161|         0|            0|            0|  0.00%|
   162|         0|            0|            0|  0.00%|
   163|     41599|     0.183901|  4.42081e-06|  0.04%|
   164|     41599|     0.174486|  4.19449e-06|  0.04%|
   165|     41599|     0.156851|  3.77055e-06|  0.03%|
   166|     41599|     0.262204|  6.30314e-06|  0.06%|
   167|     39156|     0.179702|  4.58939e-06|  0.04%|
   168|     39156|     0.158196|  4.04014e-06|  0.03%|
   169|         0|            0|            0|  0.00%|
   170|     41599|     0.151203|  3.63478e-06|  0.03%|
   171|     39156|     0.150248|  3.83715e-06|  0.03%|
   172|         0|            0|            0|  0.00%|
   173|         0|            0|            0|  0.00%|
   174|     39156|     0.442046|  1.12894e-05|  0.09%|
(call)|     39156|     0.986494|  2.51939e-05|  0.21%|# <frozen importlib._bootstrap>:58 __init__
