Command line: test_speed_GP.py
Total duration: 367.663s
File: <frozen importlib._bootstrap>
File duration: 16.5991s (4.51%)
Line #|      Hits|         Time| Time per hit|      %|Source code
------+----------+-------------+-------------+-------+-----------
     1|         0|            0|            0|  0.00%|
     2|         0|            0|            0|  0.00%|
     3|         0|            0|            0|  0.00%|
     4|         0|            0|            0|  0.00%|
     5|         0|            0|            0|  0.00%|
     6|         0|            0|            0|  0.00%|
     7|         0|            0|            0|  0.00%|
     8|         0|            0|            0|  0.00%|
     9|         0|            0|            0|  0.00%|
    10|         0|            0|            0|  0.00%|
    11|         0|            0|            0|  0.00%|
    12|         0|            0|            0|  0.00%|
    13|         0|            0|            0|  0.00%|
    14|         0|            0|            0|  0.00%|
    15|         0|            0|            0|  0.00%|
    16|         0|            0|            0|  0.00%|
    17|         0|            0|            0|  0.00%|
    18|         0|            0|            0|  0.00%|
    19|         0|            0|            0|  0.00%|
    20|         0|            0|            0|  0.00%|
    21|         0|            0|            0|  0.00%|
    22|         0|            0|            0|  0.00%|
    23|         0|            0|            0|  0.00%|
    24|         0|            0|            0|  0.00%|
    25|         0|            0|            0|  0.00%|
    26|         0|            0|            0|  0.00%|
    27|         0|            0|            0|  0.00%|
    28|         0|            0|            0|  0.00%|
    29|         0|            0|            0|  0.00%|
    30|         0|            0|            0|  0.00%|
    31|         0|            0|            0|  0.00%|
    32|         0|            0|            0|  0.00%|
    33|         0|            0|            0|  0.00%|
    34|         0|            0|            0|  0.00%|
    35|      2856|   0.00654626|  2.29211e-06|  0.00%|
    36|      2856|    0.0132716|  4.64691e-06|  0.00%|
    37|         0|            0|            0|  0.00%|
    38|         0|            0|            0|  0.00%|
    39|         0|            0|            0|  0.00%|
    40|         0|            0|            0|  0.00%|
    41|         0|            0|            0|  0.00%|
    42|         0|            0|            0|  0.00%|
    43|         0|            0|            0|  0.00%|
    44|         0|            0|            0|  0.00%|
    45|         0|            0|            0|  0.00%|
    46|         0|            0|            0|  0.00%|
    47|         0|            0|            0|  0.00%|
    48|         0|            0|            0|  0.00%|
    49|         0|            0|            0|  0.00%|
    50|         0|            0|            0|  0.00%|
    51|         0|            0|            0|  0.00%|
    52|         0|            0|            0|  0.00%|
    53|         0|            0|            0|  0.00%|
    54|         0|            0|            0|  0.00%|
    55|         0|            0|            0|  0.00%|
    56|         0|            0|            0|  0.00%|
    57|         0|            0|            0|  0.00%|
    58|     39156|     0.107317|  2.74077e-06|  0.03%|
    59|     39156|     0.194911|  4.97781e-06|  0.05%|
    60|     39156|     0.157905|  4.03272e-06|  0.04%|
    61|     39156|      0.13449|  3.43474e-06|  0.04%|
    62|     39156|     0.135305|  3.45555e-06|  0.04%|
    63|     39156|     0.137471|  3.51087e-06|  0.04%|
    64|     39156|     0.136428|  3.48422e-06|  0.04%|
    65|         0|            0|            0|  0.00%|
    66|         0|            0|            0|  0.00%|
    67|         0|            0|            0|  0.00%|
    68|         0|            0|            0|  0.00%|
    69|         0|            0|            0|  0.00%|
    70|         0|            0|            0|  0.00%|
    71|         0|            0|            0|  0.00%|
    72|         0|            0|            0|  0.00%|
    73|         0|            0|            0|  0.00%|
    74|         0|            0|            0|  0.00%|
    75|         0|            0|            0|  0.00%|
    76|         0|            0|            0|  0.00%|
    77|         0|            0|            0|  0.00%|
    78|     41599|      0.12989|  3.12244e-06|  0.04%|
    79|         0|            0|            0|  0.00%|
    80|         0|            0|            0|  0.00%|
    81|         0|            0|            0|  0.00%|
    82|         0|            0|            0|  0.00%|
    83|         0|            0|            0|  0.00%|
    84|     41599|     0.154439|  3.71256e-06|  0.04%|
    85|     41599|      0.16276|  3.91259e-06|  0.04%|
    86|     41599|     0.139235|  3.34706e-06|  0.04%|
    87|     41599|      0.13907|   3.3431e-06|  0.04%|
    88|     41599|     0.179649|   4.3186e-06|  0.05%|
    89|     41599|     0.148514|  3.57012e-06|  0.04%|
    90|     41599|     0.150917|   3.6279e-06|  0.04%|
    91|     41599|     0.157481|  3.78569e-06|  0.04%|
    92|     41599|     0.157084|  3.77614e-06|  0.04%|
    93|         0|            0|            0|  0.00%|
    94|         0|            0|            0|  0.00%|
    95|         0|            0|            0|  0.00%|
    96|         0|            0|            0|  0.00%|
    97|         0|            0|            0|  0.00%|
    98|         0|            0|            0|  0.00%|
    99|         0|            0|            0|  0.00%|
   100|         0|            0|            0|  0.00%|
   101|     41599|      0.15276|   3.6722e-06|  0.04%|
   102|         0|            0|            0|  0.00%|
   103|     41599|     0.104667|  2.51609e-06|  0.03%|
   104|     41599|     0.155418|  3.73611e-06|  0.04%|
   105|     41599|     0.152267|  3.66036e-06|  0.04%|
   106|     41599|     0.159376|  3.83125e-06|  0.04%|
   107|         0|            0|            0|  0.00%|
   108|     41599|      0.15069|  3.62245e-06|  0.04%|
   109|     41599|     0.163788|  3.93731e-06|  0.04%|
   110|     41599|      0.14492|  3.48375e-06|  0.04%|
   111|     39156|     0.133664|  3.41362e-06|  0.04%|
   112|     39156|     0.152616|  3.89765e-06|  0.04%|
   113|         0|            0|            0|  0.00%|
   114|         0|            0|            0|  0.00%|
   115|         0|            0|            0|  0.00%|
   116|         0|            0|            0|  0.00%|
   117|         0|            0|            0|  0.00%|
   118|         0|            0|            0|  0.00%|
   119|         0|            0|            0|  0.00%|
   120|         0|            0|            0|  0.00%|
   121|         0|            0|            0|  0.00%|
   122|         0|            0|            0|  0.00%|
   123|         0|            0|            0|  0.00%|
   124|         0|            0|            0|  0.00%|
   125|         0|            0|            0|  0.00%|
   126|         0|            0|            0|  0.00%|
   127|         0|            0|            0|  0.00%|
   128|         0|            0|            0|  0.00%|
   129|         0|            0|            0|  0.00%|
   130|         0|            0|            0|  0.00%|
   131|         0|            0|            0|  0.00%|
   132|         0|            0|            0|  0.00%|
   133|         0|            0|            0|  0.00%|
   134|         0|            0|            0|  0.00%|
   135|         0|            0|            0|  0.00%|
   136|         0|            0|            0|  0.00%|
   137|         0|            0|            0|  0.00%|
   138|         0|            0|            0|  0.00%|
   139|         0|            0|            0|  0.00%|
   140|         0|            0|            0|  0.00%|
   141|         0|            0|            0|  0.00%|
   142|         0|            0|            0|  0.00%|
   143|     21207|    0.0586603|  2.76608e-06|  0.02%|
   144|     21207|     0.088721|  4.18357e-06|  0.02%|
   145|     21207|    0.0914767|  4.31351e-06|  0.02%|
   146|         0|            0|            0|  0.00%|
   147|     21207|    0.0525825|  2.47949e-06|  0.01%|
   148|     21207|     0.238024|  1.12239e-05|  0.06%|
(call)|     21207|      2.37276|  0.000111885|  0.65%|# <frozen importlib._bootstrap>:157 _get_module_lock
   149|     21207|      0.22571|  1.06432e-05|  0.06%|
(call)|     21207|     0.868465|  4.09518e-05|  0.24%|# <frozen importlib._bootstrap>:78 acquire
   150|         0|            0|            0|  0.00%|
   151|     21207|    0.0624356|   2.9441e-06|  0.02%|
   152|     21207|     0.242772|  1.14477e-05|  0.07%|
(call)|     21207|     0.715057|   3.3718e-05|  0.19%|# <frozen importlib._bootstrap>:103 release
   153|         0|            0|            0|  0.00%|
   154|         0|            0|            0|  0.00%|
   155|         0|            0|            0|  0.00%|
   156|         0|            0|            0|  0.00%|
   157|     41599|      0.50176|  1.20618e-05|  0.14%|
   158|         0|            0|            0|  0.00%|
   159|         0|            0|            0|  0.00%|
   160|         0|            0|            0|  0.00%|
   161|         0|            0|            0|  0.00%|
   162|         0|            0|            0|  0.00%|
   163|     41599|     0.202645|  4.87138e-06|  0.06%|
   164|     41599|     0.157794|  3.79322e-06|  0.04%|
   165|     41599|     0.151489|  3.64164e-06|  0.04%|
   166|     41599|     0.249712|  6.00285e-06|  0.07%|
   167|     39156|     0.175186|  4.47405e-06|  0.05%|
   168|     39156|     0.174501|  4.45656e-06|  0.05%|
   169|         0|            0|            0|  0.00%|
   170|     41599|     0.161476|  3.88172e-06|  0.04%|
   171|     39156|     0.146191|  3.73356e-06|  0.04%|
   172|         0|            0|            0|  0.00%|
   173|         0|            0|            0|  0.00%|
   174|     39156|     0.446723|  1.14088e-05|  0.12%|
(call)|     39156|      1.00383|  2.56367e-05|  0.27%|# <frozen importlib._bootstrap>:58 __init__
